zipcode,population
60601,14675
60602,1244
60603,1174
60604,782
60605,27519
60606,3101
60607,29591
60608,79205
60609,61495
60610,39019
60611,32426
60612,34311
60613,50113
60614,71308
60615,41563
60616,54464
60617,82534
60618,94395
60619,61258
60620,68096
60621,29042
60622,52793
60623,85979
60624,36158
60625,79243
60626,49730
60628,66724
60629,111850
60630,57344
60631,29529
60632,91039
60633,12871
60634,75995
60636,32203
60637,47454
60638,58797
60639,90517
60640,69715
60641,71023
60642,20201
60643,49870
60644,47712
60645,47732
60646,27987
60647,87509
60649,46024
60651,63218
60652,43907
60653,31972
60654,19135
60655,28804
60656,27579
60657,70052
60659,41068
60660,43242
60661,9926
60666,0
60707,43019
60827,28577
